ï»¿dummy        {'dummy', 'LANG:EN'}
avainta         ['LANG:EN']
avain-          {'LANG:FI', '-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-SEM:directional', '-COMP:WH', 'LF:key', 'PF:avain', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'LANG:FI', '-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-SEM:directional', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'PF:auto', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', 'LF:car', '-COMP:C/fin'}
bank            {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', 'FREQ:1', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LF:bank_inst', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', 'PF:bank1', '-COMP:C/fin'}
bank            {'-SPEC:FORCE', 'PF:bank2', 'FREQ:2', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', 'LF:bank_river', '-COMP:C/fin'}
barn            {'-SPEC:FORCE', '-SPEC:R', 'PF:barn', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', 'LF:barn', '-COMP:v', '-COMP:C/fin'}
city            {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', 'LF:city', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'PF:city', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
che             ['LANG:IT']
che-            {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-COMP:N', '-COMP:*', '-COMP:WH', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'PHI_N', '-SPEC:N', '-COMP:V', 'COMP:P', 'LANG:IT', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:C/fin', 'PF:che', '-SPEC:V', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', 'COMP:T/prt', '-SPEC:uWH', '-COMP:A', '-COMP:v', 'LF:who'}
chiamato        ['LANG:IT']
chiamata-       {'SPEC:TO/inf', '-SPEC:FORCE', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', '-SPEC:T/fin', 'V', '-COMP:V', 'COMP:P', 'LF:called', 'LANG:IT', 'PF:chiamato', '-COMP:v', 'ASP', 'PHI:PER:_'}
claims          ['LANG:EN']
claim-          {'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'PF:claim', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'COMP:T/fin', 'V', 'LF:claim', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'ASP', 'PHI:PER:_'}
danno           {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'PF:danno', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'LF:damage', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', 'LANG:IT', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'PF:detest', 'SEM:internal', 'ARG', 'PHI:PER:_', 'SPEC:ADV', 'COMP:ARE/inf', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', '-SPEC:T/fin', 'V', '-COMP:V', 'COMP:P', 'LANG:IT', '-COMP:v', 'ASP', 'LF:detest'}
devono          ['LANG:EN']
deva-           {'LF:must', 'SPEC:TO/inf', '-SPEC:FORCE', 'SPEC:P', '-VAL', '-COMP:N', 'SEM:internal', 'ARG', 'SPEC:ADV', '-ASP', 'COMP:ARE/inf', 'PHI:DET:_', 'PHI:GEN:_', 'PF:deva', 'PHI:NUM:_', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'LANG:IT', '-COMP:v', 'PHI:PER:_'}
di              {'LANG:FI', '-SPEC:FORCE', '-SPEC:C', '-COMP:ADV', 'COMP:D', '!COMP:*', '-VAL', '-SPEC:iR', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'ARG', '-SPEC:Neg/fin', 'PHI:PER:_', '-SPEC:P', '-SPEC:v', '-COMP:T/fin', 'PHI:DET:_', '-COMP:uWH', 'PHI:NUM:_', '-SPEC:ADV', 'SPEC:*', '-SPEC:T/fin', '-COMP:T', '-SPEC:N', '-SPEC:iWH', 'PF:di', '-COMP:A', '-SPEC:C/fin', '-adjoinable', 'P', 'LF:of'}
does            {'-SPEC:C', '-COMP:INF', '!SPEC:*', '-SPEC:v', 'T/fin', 'LF:does', 'COMP:Neg', 'COMP:V', 'LANG:EN', 'SPEC:*', 'PHI:PER:3', '-SPEC:T/fin', '-SPEC:N', '-SPEC:Neg', 'T', 'PHI:PER:_', 'SPEC:TO/inf', '!PROBE:V', '!COMP:*', 'PHI:GEN:M', 'SPEC:FORCE', '-SPEC:V', 'ARG', 'SPEC:C/fin', '-COMP:T/fin', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'COMP:v', 'COMP:T/prt', 'SPEC:D', 'PHI:NUM:SG', '-SPEC:TO/inf', 'FIN', 'PHI:GEN:F', 'VAL', 'PF:does'}
does_C          ['LANG:EN']
does-           {'-SPEC:C', '-COMP:INF', '!SPEC:*', '-SPEC:v', 'T/fin', 'LF:does', 'COMP:Neg', 'COMP:V', 'LANG:EN', 'SPEC:*', 'PHI:PER:3', '-SPEC:T/fin', '-SPEC:N', '-SPEC:Neg', 'T', 'PHI:PER:_', 'SPEC:TO/inf', '!PROBE:V', '!COMP:*', 'PHI:GEN:M', 'SPEC:FORCE', '-SPEC:V', 'ARG', 'SPEC:C/fin', '-COMP:T/fin', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'COMP:v', 'COMP:T/prt', 'SPEC:D', 'PHI:NUM:SG', '-SPEC:TO/inf', 'FIN', 'PHI:GEN:F', 'VAL', 'PF:does'}
dorme           ['LANG:IT']
dorme-          {'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'PHI:PER:_', 'ARG', '-COMP:MA/inf', 'SPEC:ADV', 'LF:sleep', 'PHI:DET:_', 'PHI:GEN:_', 'CLASS:INTR', 'PHI:NUM:_', 'LANG:EN', '!SPEC:D', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'ASP', 'PF:dorme'}
disappeared     ['LANG:EN']
disappear-      {'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', 'PF:disappear', '-VAL', 'LF:disappear', '-COMP:N', 'ARG', '-COMP:MA/inf', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'CLASS:INTR', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'ASP', 'PHI:PER:_'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'0', 'PF:easy', 'LANG:EN', '2SPEC', 'SPEC:D', 'LF:easy'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'%SPEC:INF', 'LANG:FI', 'PF:ei', '!COMP:*', 'ARG', '!SPEC:*', 'SEM:internal', 'PHI:DET:_', 'PHI:NUM:_', '-SPEC:T', '!COMP:T', 'SPEC:*', 'LF:neg', 'POL:NEG', '-SPEC:T/fin', 'Neg/fin', 'COMP:T/prt', 'FIN', 'VAL', 'NEG', 'PHI:PER:_'}
e-              {'%SPEC:INF', 'LANG:FI', 'PF:ei', '!COMP:*', 'ARG', '!SPEC:*', 'SEM:internal', 'PHI:DET:_', 'PHI:NUM:_', '-SPEC:T', '!COMP:T', 'SPEC:*', 'LF:neg', 'POL:NEG', '-SPEC:T/fin', 'Neg/fin', 'COMP:T/prt', 'FIN', 'VAL', 'NEG', 'PHI:PER:_'}
elaa            ['LANG:FI']
ela-            {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', '-COMP:MA/inf', 'SPEC:ADV', 'LF:live', 'PHI:DET:_', 'CLASS:INTR', 'PHI:NUM:_', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'PF:elaa', '-COMP:v', 'ASP', 'PHI:PER:_'}
etsii           ['LANG:FI']
etsi-           {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', 'PF:etsi', '!COMP:*', 'SPEC:P', 'LF:search', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PHI:NUM:_', '!COMP:D', '-SPEC:T/fin', 'V', '-COMP:P', '-COMP:V', 'COMP:P', 'CLASS:TR', '-COMP:v', 'ASP', 'PHI:PER:_'}
etta            {'LF:that', 'LANG:FI', '-SPEC:*', 'COMP:T/fin', '!COMP:*', '-VAL', '-ARG', '!PROBE:FIN', 'FIN', 'PF:etta', 'FORCE', 'COMP:C/fin', '-SPEC:D'}
fell            ['LANG:EN']
fell-           {'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'LF:fell', '-COMP:MA/inf', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'CLASS:INTR', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'PF:fell', '-COMP:v', 'ASP', 'PHI:PER:_'}
flow'           {'SPEC:TO/inf', '-SPEC:FORCE', 'LF:flow', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'PF:flow', '-COMP:v', 'ASP', 'PHI:PER:_'}
from            {'-SPEC:FORCE', 'TAIL:V,+SEM:directional', '-SPEC:C', '-COMP:ADV', 'COMP:D', '!COMP:*', '-VAL', '-SPEC:iR', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'ARG', '-SPEC:Neg/fin', 'adjoinable', '-SPEC:P', '-float', '-SPEC:v', '-COMP:T/fin', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:uWH', '-SPEC:*', 'PHI:NUM:_', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', '-COMP:T', '-SPEC:N', '-SPEC:iWH', '-COMP:A', '-SPEC:C/fin', 'PF:from', 'LF:from', 'P', 'PHI:PER:_'}
gave            ['LANG:EN']
give-           {'CLASS:DITR', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', '-COMP:FIN', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'PF:give', '+SEM:directional', 'PHI:GEN:_', 'PHI:NUM:_', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', 'LF:give', '-COMP:v', 'ASP', 'PHI:PER:_'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-SPEC:FORCE', 'LF:Giuseppe', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'PF:Giuseppe', 'COMP:R/D', '-SPEC:P', '-SEM:directional', '-COMP:WH', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', 'LANG:IT', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', 'SPEC:P', 'COMP:A/inf', '-VAL', '-COMP:N', 'PHI:PER:_', 'SEM:internal', 'ARG', 'SPEC:ADV', 'PHI:DET:_', '-SPEC:*', 'PHI:NUM:_', '-SPEC:T/fin', 'V', '-COMP:P', '-COMP:V', 'COMP:P', 'CLASS:TR', 'PF:haluaa', '-COMP:v', 'ASP:BOUNDED', 'ASP', 'LF:want'}
hairitsee       ['LANG:FI']
hairitse-       {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', '-COMP:FIN', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'SPEC:ADV', 'PHI:DET:_', 'LF:disturb', 'PF:hairitsee', 'PHI:NUM:_', '!COMP:D', '-SPEC:T/fin', 'V', '-COMP:P', 'SPEC:D', '-COMP:V', 'COMP:P', 'CLASS:TR', '-COMP:v', 'ASP', 'PHI:PER:_'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'SPEC:TO/inf', '-SPEC:FORCE', 'SPEC:P', '-VAL', '-COMP:N', 'SEM:internal', 'ARG', 'SPEC:ADV', '-ASP', 'PHI:DET:_', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:*', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:T', 'COMP:P', 'LANG:IT', 'LF:have', '-COMP:v', 'PF:ha', 'PHI:PER:_'}
horse           {'-SPEC:FORCE', 'PF:horse', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', 'LF:horse', '-COMP:C/fin'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', '-VAL', 'LF:disappear', '-COMP:N', 'ARG', '-COMP:MA/inf', 'SPEC:ADV', 'PHI:DET:_', 'CLASS:INTR', 'PHI:NUM:_', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'PF:havia', 'ASP', 'PHI:PER:_'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
Helsinki-       {'LANG:FI', '-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'PF:Helsinki', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', 'LF:Helsinki', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', 'COMP:D', '!COMP:*', '-COMP:FIN', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', 'PF:ihaile-', 'SPEC:ADV', 'LF:admire', 'PHI:DET:_', 'PHI:NUM:_', '!COMP:D', '-SPEC:T/fin', 'V', '-COMP:P', '-COMP:V', 'COMP:P', 'CLASS:TR', '-COMP:v', 'ASP', 'PHI:PER:_'}
il              {'-SPEC:C', '-COMP:D', '!COMP:*', '!PROBE:N', 'LF:the', '-SPEC:V', '-SPEC:INF', '-COMP:uR', '-SPEC:Neg/fin', '-SPEC:P', '-COMP:T/fin', 'PF:il', '-SPEC:T/fin', '-COMP:P', 'D', '-ARG', 'LANG:IT', 'COMP:N', '-SPEC:MA/lla', 'adjoinable', 'OP'}
i               {'-SPEC:C', '-COMP:D', '!COMP:*', '!PROBE:N', 'LF:the', '-SPEC:V', '-SPEC:INF', '-COMP:uR', '-SPEC:Neg/fin', '-SPEC:P', '-COMP:T/fin', 'PF:il', '-SPEC:T/fin', '-COMP:P', 'D', '-ARG', 'LANG:IT', 'COMP:N', '-SPEC:MA/lla', 'adjoinable', 'OP'}
in              {'-SPEC:FORCE', '-SPEC:C', '-COMP:ADV', 'COMP:D', '!COMP:*', '-VAL', '-SPEC:iR', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'ARG', '-SPEC:Neg/fin', 'LF:in', 'adjoinable', '-SPEC:P', '-SPEC:v', '-COMP:T/fin', 'PHI:DET:_', 'PHI:GEN:_', '-COMP:uWH', 'PHI:NUM:_', '-SPEC:ADV', '-SPEC:T/fin', '-COMP:T', 'PF:in', '-SPEC:N', '-SPEC:iWH', 'LANG:IT', '-COMP:A', '-SPEC:C/fin', 'P', 'PHI:PER:_'}
infermieri      {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'PF:infermieri', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', 'LANG:IT', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', 'LF:nurses', '-COMP:v', '-COMP:C/fin'}
is              ['LANG:EN']
be-             {'SPEC:TO/inf', '-SPEC:FORCE', '!COMP:*', 'SPEC:P', '-VAL', 'PF:be', '-COMP:N', 'SPEC:ADV', 'COPULA', 'LANG:EN', '-SPEC:T/fin', 'V', 'SPEC:D', '-ARG', 'LF:be', '-COMP:V', 'COMP:P', '-COMP:TO/inf', '-COMP:v', 'ASP'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'LANG:FI', 'SPEC:TO/inf', '-SPEC:FORCE', '-COMP:D', 'SPEC:P', '-VAL', '-COMP:N', 'ARG', '-COMP:MA/inf', 'SPEC:ADV', 'PF:istuu', 'PHI:DET:_', 'CLASS:INTR', 'LF:sit', 'PHI:NUM:_', '-SPEC:T/fin', 'V', 'SPEC:D', '-COMP:V', 'COMP:P', '-COMP:v', 'ASP', 'PHI:PER:_'}
John            ['LANG:EN']
John-           {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-COMP:N', '-COMP:WH', '-COMP:AUX', 'COMP:R', 'LANG:EN', '-SPEC:ADV', '-SPEC:T/fin', 'N', '-SPEC:N', '-COMP:V', 'COMP:P', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:C/fin', '-SPEC:V', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-SEM:directional', 'LF:John', 'COMP:T/prt', 'PF:John', '-SPEC:uWH', '-COMP:A', '-adjoinable', '-COMP:v'}
joka            ['LANG:FI']
jota            ['LANG:FI']
joka-           {'-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-COMP:N', '-COMP:*', '-COMP:WH', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'PHI_N', '-SPEC:N', '-COMP:V', 'COMP:P', '-COMP:VA/inf', 'COMP:C', '-SPEC:C/fin', 'COMP:uR', '-COMP:C/fin', 'LANG:FI', 'PF:joka', '-SPEC:V', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', 'COMP:T/prt', '-SPEC:uWH', '-COMP:A', '-COMP:v', 'LF:who'}
Jukka           ['LANG:FI', '-SEM:directional', 'LANG:FI']
Jukkaa          ['LANG:FI', '-SEM:directional']
Jukka-          {'LANG:FI', '-SPEC:FORCE', '-SPEC:R', 'COMP:D/rel', '-SPEC:V', '-COMP:N', '-SPEC:INF', 'SPEC:A', 'COMP:R/D', '-SPEC:P', '-SEM:directional', 'PF:Jukka', '-COMP:WH', '-COMP:AUX', 'COMP:R', '-SPEC:ADV', '-SPEC:T/fin', 'N', 'COMP:T/prt', '-SPEC:N', '-COMP:V', 'COMP:P', '-SPEC:uWH', '-COMP:VA/inf', 'COMP:C', 'LF:Jukka', '-SPEC:C/fin', 'COMP:uR', '-COMP:A', '-COMP:v', '-COMP:C/fin'}
juosten         ['LANG:FI']
juoksee         ['LANG:FI']
