@  {'test_corpus_file': 'information_structure_corpus.txt', 'test_corpus_folder': 'study-8-information-structure', 'study_folder': 'study-8-information-structure/', 'author': 'PauliBrattico', 'year': 2021, 'date': 'February', 'study_id': 1, 'only_first_solution': False, 'logging': True, 'ignore_ungrammatical_sentences': False, 'datatake_resources': True, 'datatake_resource_sequence': False, 'datatake_timings': False, 'datatake_images': False, 'image_parameter_stop_after_each_image': False, 'image_parameter_show_words': True, 'image_parameter_nolabels': False, 'image_parameter_spellout': False, 'image_parameter_case': False, 'image_parameter_show_sentences': False, 'image_parameter_show_glosses': True, 'extra_ranking': True, 'filter': True, 'lexical_anticipation': True, 'closure': 'Bottom-up', 'working_memory': True, 'positive_spec_selection': 100, 'negative_spec_selection': -100, 'break_head_comp_relations': -100, 'negative_tail_test': -100, 'positive_head_comp_selection': 100, 'negative_head_comp_selection': -100, 'negative_semantics_match': -100, 'lf_legibility_condition': -100, 'negative_adverbial_test': -100, 'positive_adverbial_test': 100}
@  2021-03-17 10:34:16.055974
@  Test sentences from language data working directory\study-8-information-structure\information_structure_corpus.txt.
@  Logs into language data working directory\study-8-information-structure\information_structure_corpus_log.txt.
@  Lexicon from language data working directory\lexicon.txt.
@  Redundancy rules from language data working directory\redundancy_rules.txt.
@  Universal morphemes from language data working directory\ug_morphemes.txt.
@ 
@ 
Number,Sentence,Study_ID,Total Time,Garden Paths,Memory Reactivation,Steps,Merge,Move Head,Move Phrase,A-Move Phrase,A-bar Move Phrase,Move Adjunct,Agree,Phi,Transfer,Item streamed into syntax,Feature Processing,Extraposition,Inflection,Failed Transfer,LF recovery,LF test,Filter solution,Rank solution,Lexical retrieval,Morphological decomposition,Mean time per word,Asymmetric Merge,Sink,External Tail Test,Execution time (ms)	
14,Pekka sanoi etta Merja ihailee Pekkaa ,1,,2580,0,0,19,11,27,11,0,0,11,14,17,31,12,0,0,18,21,3,45,15,6,30,5,430,128,10,150,125
15,se talo sanoi etta Merja lahtee ,1,,1780,0,0,35,8,13,6,0,0,6,8,10,24,9,0,0,12,13,2,35,8,5,21,4,296,207,18,274,62
16,se talo sanoi etta Merja ihailee Pekkaa ,1,,2550,0,0,64,11,25,11,0,0,11,14,17,34,12,0,0,17,22,3,49,14,7,29,5,364,432,38,527,156
17,Pekka haluaa ihailla Merjaa ,1,,1625,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,12,7,4,14,9,4,22,4,406,33,6,24,62
18,se talo haluaa ihailla Merjaa ,1,,1595,0,0,22,9,15,3,0,0,3,4,8,13,10,3,0,11,8,4,18,8,5,21,4,319,84,14,58,62
19,Pekka haluaa ihailla sita taloa ,1,,1780,0,0,10,9,26,4,0,0,4,6,10,15,10,6,0,11,13,4,21,11,6,21,5,356,48,5,36,78
20,keta Pekka ihailee ,1,,1070,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,8,4,2,13,4,3,15,3,356,26,6,18,31
21,Pekka nukkui lahella Merjaa ,1,,3555,2,2,15,12,13,6,0,0,6,11,13,25,12,0,1,24,14,2,31,9,8,36,5,888,77,7,106,93
22,keta Pekka haluaa ihailla ,1,,1515,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,8,7,4,23,7,5,18,4,378,85,14,58,62
23,Pekka nukkuu ,1,,665,0,0,4,3,3,1,0,0,1,1,2,3,4,0,0,6,0,1,5,2,1,10,2,332,8,2,8,15
24,Pekka nukkui Helsingissa ,1,,1250,0,0,9,6,7,3,0,0,3,3,5,8,7,0,0,9,1,2,12,4,3,16,4,416,35,6,42,31
25,Pekka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,0,2,2,4,6,7,0,0,12,3,2,9,5,3,19,3,416,18,4,17,31
26,Pekka antoi kirjan Merjalle ,1,,1635,0,0,14,9,22,5,0,0,5,6,9,14,10,0,0,11,3,3,22,7,7,21,4,408,83,10,93,78
27,Pekka kaskee Merjan_gen lahtea ,1,,1615,0,0,9,8,15,3,0,0,3,5,8,12,9,1,2,12,7,3,18,8,2,21,4,403,33,5,26,62
28,Pekka kaskee poikien ihailla Merjaa ,1,,2230,0,0,12,11,27,4,0,0,4,9,13,17,12,4,2,17,12,4,24,13,4,29,5,446,57,7,38,78
29,Pekka nukkuu lahella Merjaa ,1,,3555,2,2,15,12,13,6,0,0,6,11,13,25,12,0,1,24,14,2,31,9,8,36,5,888,77,7,106,93
30,Pekka ei ihaile Merjaa ,1,,1370,0,0,8,7,9,2,0,0,2,7,10,10,8,0,1,12,8,3,15,7,3,20,4,342,26,4,26,31
31,Pekka haluaa ihailla Merjaa ,1,,1625,0,0,10,9,17,3,0,0,3,4,8,10,10,3,0,12,7,4,14,9,4,22,4,406,33,6,24,46
32,John admires Mary ,1,,1105,0,0,7,6,7,0,0,0,0,2,4,4,7,0,0,11,3,2,7,5,2,18,3,368,13,4,0,31
33,Pekka nukkui lahella Merjaa ,1,,3555,2,2,15,12,13,6,0,0,6,11,13,25,12,0,1,24,14,2,31,9,8,36,5,888,77,7,106,93
34,Merjaa ihailee Pekka ,1,,1305,0,0,8,6,9,4,0,0,4,3,6,9,7,0,0,12,1,3,13,4,2,19,3,435,44,5,56,46
35,Merjan_gen kaskee lahtea Pekka ,1,,1615,0,0,10,8,17,1,0,0,1,11,15,9,9,4,0,12,5,4,15,7,5,21,4,403,59,6,38,62
36,Helsingissa nukkui Pekka ,1,,2425,1,2,8,8,10,5,0,0,5,5,8,13,8,0,1,9,3,3,13,5,2,17,4,808,36,5,42,62
37,Merjaa haluaa ihailla Pekka ,1,,1680,0,0,11,9,21,4,0,0,4,5,10,12,10,4,0,12,5,5,17,8,4,22,4,420,77,7,89,78
38,Merjaa ei ihaile Pekka ,1,,1430,0,0,9,7,11,4,0,0,4,9,13,13,8,0,1,12,6,4,19,6,2,20,4,357,57,5,75,46
39,Pekka Merjaa ihailee ,1,,1305,0,0,9,6,8,2,0,0,2,1,3,9,7,0,2,12,4,2,14,4,4,19,3,435,39,6,53,31
40,Merjaa Pekka ihailee ,1,,1300,0,0,9,6,8,2,0,0,2,1,3,9,7,0,2,12,4,2,14,4,3,19,3,433,39,6,53,31
41,se mies Merjaa ihailee ,1,,1275,0,0,17,6,6,2,0,0,2,1,3,12,7,0,2,11,5,2,18,3,5,18,3,318,63,12,78,31
42,Merjaa se mies ihailee ,1,,1290,0,0,16,6,4,2,0,0,2,1,3,14,7,0,2,11,5,2,22,3,4,18,3,322,71,11,113,31
43,Pekka Merjalle kirjan antoi ,1,,1580,0,0,12,9,15,3,0,0,3,1,4,14,10,0,3,11,7,3,19,8,7,21,4,395,75,8,108,62
44,Pekka kirjan Merjalle antoi ,1,,1540,0,0,15,9,16,3,0,0,3,1,4,13,10,0,2,11,6,3,17,8,3,21,4,385,90,10,122,46
45,Merjalle Pekka kirjan antoi ,1,,1630,0,0,18,9,15,3,0,0,3,1,4,17,10,0,5,11,10,3,24,7,5,21,4,407,116,13,171,62
46,Merjalle kirjan Pekka antoi ,1,,1635,0,0,18,9,15,3,0,0,3,1,4,17,10,0,5,11,10,3,24,7,6,21,4,408,115,13,170,62
47,kirjan Pekka Merjalle antoi ,1,,1540,0,0,15,9,16,3,0,0,3,1,4,13,10,0,2,11,6,3,17,8,3,21,4,385,90,10,122,62
48,kirjan Merjalle Pekka antoi ,1,,1575,0,0,12,9,15,3,0,0,3,1,4,14,10,0,3,11,7,3,19,8,6,21,4,393,75,8,108,62
49,Merjaa Pekka poikien kaskee ihailla ,1,,2325,0,0,36,11,22,4,0,0,4,5,9,24,12,1,6,17,19,4,37,10,7,29,5,465,251,26,345,93
50,Merjaa Pekka kaskee poikien ihailla ,1,,2320,0,0,19,11,25,6,0,0,6,7,11,23,12,1,5,17,15,4,34,12,4,29,5,464,130,12,150,93
51,Pekka nukkuu Merjaa lahella ,1,,6385,7,8,11,15,27,6,0,0,6,17,19,47,11,0,7,12,28,2,63,4,12,23,3,1596,144,4,237,171
52,Pekka kaskee poikien Merjaa ihailla ,1,,2340,0,0,14,11,26,5,0,0,5,7,11,25,12,1,6,17,15,4,36,12,4,29,5,468,85,9,99,93
53,Pekka kaskee Merjaa poikien ihailla ,1,,2320,0,0,14,11,26,5,0,0,5,7,11,23,12,1,6,17,15,4,34,12,4,29,5,464,88,9,110,93
54,Pekka lahtee heidan Merjaa ihailtua ,1,,
55,Merjaa Pekka ei ihaile ,1,,1410,0,0,11,7,8,2,0,0,2,4,7,14,8,0,4,12,9,3,21,6,2,20,4,352,59,6,85,31
56,Pekka Merjaa ei ihaile ,1,,1415,0,0,11,7,8,2,0,0,2,4,7,14,8,0,4,12,9,3,21,6,3,20,4,353,59,6,85,46
57,Merjalle kirjan antoi Pekka ,1,,4115,2,4,16,13,25,14,0,0,14,9,13,31,12,0,2,11,7,4,37,8,7,23,4,1028,143,11,199,125
58,kirjan Merjalle antoi Pekka ,1,,2810,1,2,11,11,20,11,0,0,11,6,10,22,11,0,0,11,4,4,23,9,3,22,4,702,93,7,127,93
59,Pekka halusi Merjaa ihailla ,1,,1705,0,0,14,9,22,5,0,0,5,6,10,14,10,1,0,12,3,4,22,7,5,22,4,426,74,10,75,62
60,Pekka halusi Helsingissa nukkua ,1,,1635,0,0,10,9,19,4,0,0,4,4,8,13,10,1,2,9,7,4,15,9,3,19,5,408,41,6,37,62
61,Pekka halusi Merjalle antaa kirjan ,1,,2050,0,0,13,12,31,8,0,0,8,6,11,23,13,4,2,11,12,5,21,14,5,24,5,410,94,8,112,109
62,Pekka nukkui Merjaa lahella ,1,,6385,7,8,11,15,27,6,0,0,6,17,19,47,11,0,7,12,28,2,63,4,12,23,3,1596,144,4,237,171
63,Jukka sanoi etta Pekka ihailee Merjaa ,1,,2630,0,0,19,11,27,11,0,0,11,14,17,31,12,0,0,19,21,3,45,15,6,31,5,438,128,10,150,109
64,Jukka sanoi etta Pekka antoi kirjan Merjalle ,1,,3440,0,0,41,14,64,22,0,0,22,28,32,53,15,0,0,18,21,4,78,17,13,33,6,491,421,30,525,218
65,Jukka sanoi etta Pekka kaskee Merjan_gen lahtea ,1,,3290,0,0,23,13,46,16,0,0,16,22,26,47,14,1,5,19,31,4,67,21,5,33,6,470,199,12,215,171
66,Jukka sanoi etta Pekka kaskee poikien ihailla Merjaa ,1,,4200,0,0,29,16,72,21,0,0,21,34,39,59,17,7,5,24,42,5,83,29,7,41,7,525,303,16,286,250
67,Jukka sanoi etta Pekka nukkuu lahella Merjaa ,1,,15595,11,17,69,38,62,33,0,0,33,56,59,110,29,0,3,49,62,3,140,31,20,78,10,2227,741,42,1152,531
68,Jukka sanoi etta Pekka ei ihaile Merjaa ,1,,2955,0,0,21,12,31,12,0,0,12,27,31,42,13,0,4,19,32,4,61,20,6,32,6,422,182,10,234,156
69,Jukka sanoi etta Pekka nukkui Helsingissa ,1,,2760,0,0,31,11,29,16,0,0,16,20,23,40,12,0,0,16,13,3,58,11,9,28,6,460,248,22,331,140
70,Jukka sanoi etta Pekka haluaa ihailla Merjaa ,1,,3285,0,0,25,14,51,16,0,0,16,21,26,42,15,6,0,19,31,5,60,22,7,34,6,469,204,14,206,187
71,Jukka sanoi etta Pekka nukkui lahella Merjaa ,1,,15595,11,17,69,38,62,33,0,0,33,56,59,110,29,0,3,49,62,3,140,31,20,78,10,2227,741,42,1152,546
72,Jukka sanoi etta Merjaa ihailee Pekka ,1,,2840,0,0,25,11,37,17,0,0,17,20,24,41,12,0,0,19,13,4,59,11,7,31,5,473,299,16,405,156
73,Jukka sanoi etta Merjan_gen kaskee lahtea Pekka ,1,,3265,0,0,29,13,59,9,0,0,9,39,44,36,14,10,0,19,23,5,59,17,10,33,6,466,371,18,291,203
74,Jukka sanoi etta Pekka Merjaa ihailee ,1,,2625,0,0,23,11,25,8,0,0,8,10,13,34,12,0,2,19,22,3,50,14,7,31,5,437,175,14,261,109
75,Jukka sanoi etta Merjaa Pekka ihailee ,1,,2625,0,0,23,11,25,8,0,0,8,10,13,34,12,0,2,19,22,3,50,14,7,31,5,437,175,14,261,109
76,Jukka sanoi etta se mies Merjaa ihailee ,1,,2765,0,0,39,11,22,10,0,0,10,12,15,44,12,0,2,18,32,3,64,16,8,30,5,395,288,26,478,156
77,Jukka sanoi etta Merjaa se mies ihailee ,1,,2760,0,0,37,11,20,9,0,0,9,12,15,46,12,0,2,18,29,3,68,16,8,30,5,394,304,24,541,140
78,Jukka sanoi etta Pekka Merjalle kirjan antoi ,1,,3080,0,0,29,14,40,10,0,0,10,12,16,46,15,0,3,18,31,4,62,21,11,33,6,440,328,18,528,203
79,Jukka sanoi etta Pekka kirjan Merjalle antoi ,1,,3045,0,0,35,14,41,10,0,0,10,12,16,45,15,0,2,18,30,4,60,21,8,33,6,435,394,22,618,187
80,Jukka sanoi etta Merjalle Pekka kirjan antoi ,1,,3130,0,0,41,14,40,10,0,0,10,12,16,49,15,0,5,18,34,4,67,20,9,33,6,447,460,28,754,203
81,Jukka sanoi etta Merjalle kirjan Pekka antoi ,1,,3135,0,0,41,14,40,10,0,0,10,12,16,49,15,0,5,18,34,4,67,20,10,33,6,447,458,28,752,203
82,Jukka sanoi etta kirjan Pekka Merjalle antoi ,1,,3045,0,0,35,14,41,10,0,0,10,12,16,45,15,0,2,18,30,4,60,21,8,33,6,435,394,22,618,187
83,Jukka sanoi etta kirjan Merjalle Pekka antoi ,1,,3075,0,0,29,14,40,10,0,0,10,12,16,46,15,0,3,18,31,4,62,21,10,33,6,439,328,18,528,187
84,Jukka sanoi etta Merjaa Pekka poikien kaskee ihailla ,1,,4080,0,0,77,16,52,15,0,0,15,21,26,63,17,1,9,24,49,5,93,26,12,41,7,510,1021,54,1490,265
85,Jukka sanoi etta Merjaa Pekka kaskee poikien ihailla ,1,,4175,0,0,43,16,61,20,0,0,20,26,31,65,17,1,8,24,45,5,93,28,8,41,7,521,611,26,783,265
86,Jukka sanoi etta Pekka nukkuu Merjaa lahella ,1,,27235,34,38,39,53,128,47,0,0,47,113,116,250,25,0,16,19,157,3,319,14,33,44,5,3890,1167,14,2200,1156
87,Jukka sanoi etta Pekka kaskee poikien Merjaa ihailla ,1,,4340,0,0,33,16,68,22,0,0,22,29,34,73,17,1,12,24,45,5,101,28,7,41,7,542,384,20,497,281
88,Jukka sanoi etta Pekka kaskee Merjaa poikien ihailla ,1,,4290,0,0,33,16,68,22,0,0,22,29,34,68,17,1,12,24,45,5,96,28,7,41,7,536,355,20,454,265
89,Jukka sanoi etta Pekka lahtee heidan Merjaa ihailtua ,1,,
90,Jukka sanoi etta Helsingissa nukkui Pekka ,1,,2715,0,0,25,11,33,17,0,0,17,21,25,39,12,0,0,16,12,4,46,11,6,28,6,452,242,16,298,156
91,Jukka sanoi etta Merjaa ei ihaile Pekka ,1,,3185,0,0,27,12,41,18,0,0,18,37,42,52,13,0,4,19,24,5,75,16,7,32,6,455,385,16,553,187
92,Jukka sanoi etta Merjaa Pekka ei ihaile ,1,,2925,0,0,27,12,27,9,0,0,9,18,22,46,13,0,7,19,33,4,67,19,6,32,6,417,303,14,476,156
93,Jukka sanoi etta Pekka Merjaa ei ihaile ,1,,2925,0,0,27,12,27,9,0,0,9,18,22,46,13,0,7,19,33,4,67,19,6,32,6,417,303,14,476,156
94,Jukka sanoi etta Merjaa haluaa ihailla Pekka ,1,,3490,0,0,31,14,69,18,0,0,18,28,34,48,15,10,0,19,23,6,71,18,9,34,6,498,476,20,601,234
95,Jukka sanoi etta Pekka halusi Merjaa ihailla ,1,,3505,0,0,41,14,64,22,0,0,22,28,33,53,15,1,0,19,21,5,78,17,10,34,6,500,386,30,443,218
96,Jukka sanoi etta Pekka halusi Helsingissa nukkua ,1,,3310,0,0,25,14,53,17,0,0,17,21,26,48,15,1,5,16,31,5,61,22,6,31,7,472,216,14,234,203
97,Jukka sanoi etta Pekka halusi Merjalle antaa kirjan ,1,,4065,0,0,31,17,79,28,0,0,28,28,34,71,18,7,5,18,42,6,77,30,8,36,7,508,442,18,569,312
98,Jukka sanoi etta Pekka nukkui Merjaa lahella ,1,,27235,34,38,39,53,128,47,0,0,47,113,116,250,25,0,16,19,157,3,319,14,33,44,5,3890,1167,14,2200,1171
99,se mies joka nukkui lahti ,1,,1605,0,0,24,7,14,8,0,7,1,9,11,18,8,0,0,11,1,2,29,4,7,19,4,321,119,14,93,62
100,kuka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,3,416,14,4,5,31
101,kuka#[hAn] ihailee Merjaa ,1,,1365,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,455,14,4,5,31
102,kuka#[pA] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,451,14,4,5,31
103,kuka#[kO] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,451,14,4,5,31
104,kuka#[foc] ihailee Merjaa ,1,,1365,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,455,14,4,5,31
105,kuka#[foc]#[hAn] ihailee Merjaa ,1,,1495,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,498,14,4,5,31
106,kuka#[foc]#[pA] ihailee Merjaa ,1,,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,495,14,4,5,31
107,kuka#[foc]#[kO] ihailee Merjaa ,1,,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,495,14,4,5,46
108,kuka#[pA]#[hAn] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,31
109,kuka#[kO]#[hAn] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,491,14,4,5,46
110,kuka#[foc]#[kO]#[hAn] ihailee Merjaa ,1,,1605,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,535,14,4,5,31
111,kuka#[foc]#[pA]#[hAn] ihailee Merjaa ,1,,1605,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,16,3,2,7,5,3,23,4,535,14,4,5,46
112,Pekka#[hAn] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
113,Pekka#[pA] ihailee Merjaa ,1,,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,46
114,Pekka#[kO] ihailee Merjaa ,1,,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
115,Pekka#[foc] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
116,Pekka#[foc]#[hAn] ihailee Merjaa ,1,,1485,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,495,14,4,5,31
117,Pekka#[foc]#[pA] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
118,Pekka#[foc]#[kO] ihailee Merjaa ,1,,1475,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,491,14,4,5,31
119,Pekka#[foc]#[kO]#[hAn] ihailee Merjaa ,1,,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
120,Pekka#[foc]#[pA]#[hAn] ihailee Merjaa ,1,,1595,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,15,3,2,7,5,3,22,4,531,14,4,5,31
121,Pekka#[pA]#[hAn] ihailee Merjaa ,1,,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
122,Pekka#[kO]#[hAn] ihailee Merjaa ,1,,1465,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,4,488,14,4,5,31
123,istuu#[foc] Pekka ,1,,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
124,istuu#[hAn] Pekka ,1,,970,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,485,10,3,8,15
125,istuu#[kO] Pekka ,1,,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,15
126,istuu#[pA] Pekka ,1,,950,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,9,1,1,4,3,2,14,3,475,10,3,8,31
127,istuu#[kO]#[hAn] Pekka ,1,,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
128,istuu#[pA]#[hAn] Pekka ,1,,1140,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,11,1,1,4,3,2,16,3,570,10,3,8,15
129,istuu#[foc]#[kO]#[hAn] Pekka ,1,,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,31
130,istuu#[foc]#[pA]#[hAn] Pekka ,1,,1340,0,0,5,4,3,1,0,0,1,2,3,3,5,0,0,13,1,1,4,3,2,18,3,670,10,3,8,15
131,se mies joka nukkui lahti ,1,,1605,0,0,24,7,14,8,0,7,1,9,11,18,8,0,0,11,1,2,29,4,7,19,4,321,119,14,93,78
132,se mies jota Merja ihaili lahti ,1,,2610,0,0,73,10,31,16,0,7,9,10,13,38,11,0,4,17,17,3,55,7,14,28,5,435,467,49,426,125
133,se mies jota ihaili Merja lahti ,1,,3845,1,2,66,12,48,24,0,14,10,18,22,37,12,0,1,17,10,4,57,7,12,29,5,640,551,46,565,156
134,keta Pekka ihailee ,1,,1070,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,8,4,2,13,4,3,15,3,356,26,6,18,31
135,kuka ihailee Merjaa ,1,,1250,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,3,416,14,4,5,31
136,kuka halusi ihailla Merjaa ,1,,1615,0,0,10,9,17,3,0,3,0,4,8,7,10,3,0,13,7,4,11,9,4,23,4,403,27,6,6,62
137,keta Pekka halusi ihailla ,1,,1515,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,8,7,4,23,7,5,18,4,378,85,14,58,78
138,Pekka#[hAn] ihailee Merjaa ,1,,1355,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,451,14,4,5,31
139,Pekkahan ihailee Merjaa ,1,,1390,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,14,3,2,7,5,3,21,3,463,14,4,5,31
140,Merjaa#[hAn] Pekka ihailee ,1,,1425,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,4,475,26,6,18,31
141,Merjaahan Pekka ihailee ,1,,1400,0,0,9,6,8,2,0,1,1,1,3,8,7,0,2,13,4,2,13,4,3,20,3,466,26,6,18,31
142,Helsingissa#[hAn] Pekka nukkui ,1,,1455,0,0,8,6,9,2,0,1,1,1,3,8,7,0,2,10,4,2,12,4,4,17,5,485,24,5,16,46
143,Merjaa#[hAn] Pekka halusi ihailla ,1,,1870,0,0,19,9,16,9,0,3,4,4,8,15,10,1,2,13,7,4,23,7,5,23,5,467,85,14,58,62
144,Pekka#[pA] ihailee Merjaa ,1,,1345,0,0,7,6,7,2,0,2,0,2,4,4,7,0,0,13,3,2,7,5,3,20,4,448,14,4,5,31
