ï»¿dummy        {'LANG:EN', 'dummy'}
bank            {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', 'FREQ:1', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-COMP:WH', '-SPEC:ADV', 'LANG:EN', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'PF:bank1', 'COMP:uR', 'LF:bank_inst', '-COMP:VA/inf', 'COMP:T/prt', 'SPEC:A', '-SPEC:C/fin'}
bank            {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-SPEC:ADV', 'LANG:EN', 'FREQ:2', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'PF:bank2', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH', 'LF:bank_river'}
barn            {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', 'PF:barn', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-COMP:WH', '-SPEC:ADV', 'LANG:EN', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'LF:barn', '-COMP:VA/inf', 'COMP:T/prt', 'SPEC:A', '-SPEC:C/fin'}
city            {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-COMP:WH', '-SPEC:ADV', 'LANG:EN', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'PF:city', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', 'LF:city', '-SPEC:C/fin'}
che             ['LANG:IT']
che-            {'-COMP:C/fin', 'PHI_N', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-COMP:*', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', 'LF:who', '-SPEC:ADV', 'PF:che', '-SPEC:FORCE', '-SPEC:V', '-COMP:v', 'COMP:uR', '-COMP:VA/inf', 'COMP:T/prt', '-COMP:A', '-SPEC:N', 'N', 'LANG:IT', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-COMP:V', 'COMP:P', 'SPEC:A', '-SPEC:C/fin', '-COMP:WH'}
chiamato        ['LANG:IT']
chiamata-       {'-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LF:called', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:IT', 'PF:chiamato', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
claims          ['LANG:EN']
claim-          {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', 'PF:claim', 'LANG:EN', 'COMP:T/fin', '-SPEC:T/fin', '-SPEC:FORCE', 'LF:claim', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
danno           {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'PF:danno', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-SPEC:ADV', 'LF:damage', 'LANG:IT', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH'}
del             ['LANG:IT']
della           ['LANG:IT']
detesto         ['LANG:IT']
detesto         ['LANG:IT']
detest-         {'SEM:internal', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:IT', '-SPEC:T/fin', '-SPEC:FORCE', 'LF:detest', 'PF:detest', 'COMP:ARE/inf', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
devono          ['LANG:EN']
deva-           {'SPEC:D', 'SEM:internal', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PF:deva', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:IT', '-SPEC:T/fin', '-SPEC:FORCE', 'COMP:ARE/inf', '-COMP:V', '-COMP:v', '-ASP', 'LF:must', 'COMP:P', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
di              {'-SPEC:C', '-COMP:A', 'SPEC:*', '-SPEC:INF', '-COMP:N', '-VAL', '-SPEC:N', 'PHI:GEN:_', 'LF:of', '-SPEC:P', 'LANG:FI', 'PF:di', '-COMP:T/fin', '-SPEC:ADV', 'PHI:NUM:_', '-SPEC:Neg/fin', '-SPEC:iWH', '-adjoinable', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:ADV', '!COMP:*', '-SPEC:V', '-COMP:uWH', 'COMP:D', '-SPEC:iR', 'ARG', '-COMP:T', '-SPEC:C/fin', '-SPEC:v', 'PHI:PER:_', 'PHI:DET:_', 'P'}
does            {'-SPEC:C', 'SPEC:FORCE', 'PHI:GEN:_', 'LF:does', '!PROBE:V', 'PF:does', 'PHI:GEN:F', '-COMP:T/fin', 'VAL', 'T/fin', 'LANG:EN', 'T', 'SPEC:C/fin', '-SPEC:V', 'PHI:PER:3', 'FIN', 'ARG', 'PHI:DET:_', 'COMP:T/prt', 'SPEC:D', 'SPEC:*', '-SPEC:N', '-SPEC:TO/inf', 'COMP:Neg', 'COMP:v', 'PHI:NUM:SG', 'PHI:NUM:_', '-SPEC:T/prt', '-SPEC:Neg', '-SPEC:T/fin', '-adjoinable', '!COMP:*', '-COMP:INF', 'COMP:V', 'SPEC:TO/inf', '!SPEC:*', '-SPEC:v', 'PHI:PER:_', 'PHI:GEN:M'}
does_C          ['LANG:EN']
does-           {'-SPEC:C', 'SPEC:FORCE', 'PHI:GEN:_', 'LF:does', '!PROBE:V', 'PF:does', 'PHI:GEN:F', '-COMP:T/fin', 'VAL', 'T/fin', 'LANG:EN', 'T', 'SPEC:C/fin', '-SPEC:V', 'PHI:PER:3', 'FIN', 'ARG', 'PHI:DET:_', 'COMP:T/prt', 'SPEC:D', 'SPEC:*', '-SPEC:N', '-SPEC:TO/inf', 'COMP:Neg', 'COMP:v', 'PHI:NUM:SG', 'PHI:NUM:_', '-SPEC:T/prt', '-SPEC:Neg', '-SPEC:T/fin', '-adjoinable', '!COMP:*', '-COMP:INF', 'COMP:V', 'SPEC:TO/inf', '!SPEC:*', '-SPEC:v', 'PHI:PER:_', 'PHI:GEN:M'}
dorme           ['LANG:IT']
dorme-          {'SPEC:D', '-COMP:MA/inf', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', '!SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', 'LF:sleep', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'CLASS:INTR', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_', 'PF:dorme'}
disappeared     ['LANG:EN']
disappear-      {'SPEC:D', '-COMP:MA/inf', 'LF:disappear', '-VAL', '-COMP:N', 'SPEC:P', 'PF:disappear', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'V', 'CLASS:INTR', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
e               ['LANG:IT']
easy            ['LANG:EN']
easy-           {'LANG:EN', 'PF:easy', 'SPEC:D', 'LF:easy', '2SPEC', '0'}
en              ['LANG:FI']
et              ['LANG:FI']
ei              ['LANG:FI']
emme            ['LANG:FI']
ette            ['LANG:FI']
eivat           ['LANG:FI']
ei'             {'SEM:internal', 'SPEC:*', 'NEG', 'PHI:GEN:_', '%SPEC:INF', 'LANG:FI', 'PHI:NUM:_', '!SPEC:*', 'VAL', '-SPEC:T/fin', 'Neg/fin', '!COMP:*', 'FIN', '-SPEC:T', 'POL:NEG', 'LF:neg', 'ARG', '!COMP:T', 'PF:ei', 'COMP:T/prt', 'PHI:PER:_', 'PHI:DET:_'}
e-              {'SEM:internal', 'SPEC:*', 'NEG', 'PHI:GEN:_', '%SPEC:INF', 'LANG:FI', 'PHI:NUM:_', '!SPEC:*', 'VAL', '-SPEC:T/fin', 'Neg/fin', '!COMP:*', 'FIN', '-SPEC:T', 'POL:NEG', 'LF:neg', 'ARG', '!COMP:T', 'PF:ei', 'COMP:T/prt', 'PHI:PER:_', 'PHI:DET:_'}
elaa            ['LANG:FI']
ela-            {'SPEC:D', '-COMP:MA/inf', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LF:live', 'LANG:FI', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', 'PF:elaa', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'CLASS:INTR', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
etsii           ['LANG:FI']
etsi-           {'-COMP:P', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LANG:FI', 'PHI:NUM:_', 'PHI:PER:_', 'SPEC:ADV', 'PF:etsi', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', '!COMP:D', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'CLASS:TR', 'LF:search'}
etta            {'-SPEC:*', 'LF:that', '-SPEC:D', 'COMP:T/fin', '-ARG', '!COMP:*', 'FORCE', '-VAL', '!PROBE:FIN', 'FIN', 'LANG:FI', 'PF:etta', 'COMP:C/fin'}
fell            ['LANG:EN']
fell-           {'SPEC:D', '-COMP:MA/inf', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LF:fell', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', '!SPEC:D', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', 'PF:fell', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'CLASS:INTR', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
flow'           {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'PF:flow', 'LF:flow', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', 'COMP:P', '-COMP:v', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
from            {'-SPEC:*', '-SPEC:C', '-COMP:A', 'TAIL:V,+SEM:directional', '-SPEC:INF', '-COMP:N', '-VAL', '-SPEC:N', 'PHI:GEN:_', '-SPEC:P', '-COMP:T/fin', '-float', '-SPEC:ADV', 'PHI:NUM:_', 'adjoinable', '-SPEC:Neg/fin', 'LANG:EN', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:ADV', '!COMP:*', '-SPEC:V', '-COMP:uWH', 'PF:from', 'COMP:D', '-SPEC:iR', 'ARG', '-COMP:T', '-SPEC:C/fin', '-SPEC:v', 'PHI:PER:_', 'PHI:DET:_', 'LF:from', 'P'}
gave            ['LANG:EN']
give-           {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', '+SEM:directional', 'CLASS:DITR', 'LF:give', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:FIN', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PF:give', 'PHI:PER:_', 'PHI:DET:_'}
Giuseppe        ['LANG:IT']
Giuseppe-       {'-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', 'PF:Giuseppe', '-SPEC:ADV', 'LANG:IT', 'LF:Giuseppe', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH', '-SEM:directional'}
haluaa          ['LANG:FI']
halusi          ['LANG:FI']
halusimme       ['LANG:FI']
haluan          ['LANG:FI']
halua           ['LANG:FI']
haluamalla      ['LANG:FI']
haluttiin       ['LANG:FI']
haluttu         ['LANG:FI']
halua-          {'-SPEC:*', 'SEM:internal', 'ASP:BOUNDED', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LF:want', 'COMP:A/inf', 'LANG:FI', 'PHI:NUM:_', 'PHI:PER:_', 'SPEC:ADV', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PF:haluaa', 'CLASS:TR', '-COMP:P'}
hairitsee       ['LANG:FI']
hairitse-       {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LANG:FI', 'PHI:NUM:_', 'PHI:PER:_', 'SPEC:ADV', '-COMP:FIN', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', '!COMP:D', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'PF:hairitsee', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'CLASS:TR', '-COMP:P', 'LF:disturb'}
hanno           ['LANG:IT']
ho              ['LANG:IT']
ha-             {'SPEC:D', 'SEM:internal', 'SPEC:*', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PHI:NUM:_', 'SPEC:ADV', 'LF:have', 'LANG:IT', '-SPEC:T/fin', '-SPEC:FORCE', 'PF:ha', '-COMP:V', '-COMP:v', '-ASP', 'COMP:P', 'SPEC:TO/inf', 'V', 'COMP:T', 'ARG', 'PHI:PER:_', 'PHI:DET:_'}
horse           {'PF:horse', '-COMP:C/fin', '-COMP:A', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', 'LF:horse', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-SPEC:ADV', 'LANG:EN', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH'}
havisivat       ['LANG:FI']
haviavan        ['LANG:FI']
havisi          ['LANG:FI']
havia-          {'SPEC:D', '-COMP:MA/inf', 'LF:disappear', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'PF:havia', 'LANG:FI', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'CLASS:INTR', 'V', 'ARG', 'PHI:DET:_', 'PHI:PER:_'}
Helsingissa     ['LANG:FI']
Helsinki        ['LANG:FI']
Helsinki-       {'-COMP:C/fin', '-COMP:A', 'PF:Helsinki', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', 'LANG:FI', '-SPEC:ADV', '-SPEC:FORCE', '-SPEC:T/fin', 'LF:Helsinki', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH'}
ihailen         ['LANG:FI']
ihaili          ['LANG:FI']
ihailet         ['LANG:FI']
ihailee         ['LANG:FI']
ihailemme       ['LANG:FI']
ihailette       ['LANG:FI']
ihailevat       ['LANG:FI']
ihailevansa     ['LANG:FI']
ihailemassa     ['LANG:FI']
ihailtua        ['LANG:FI']
ihaile          ['LANG:FI']
ihaillut        ['LANG:FI']
ihailla         ['LANG:FI']
ihailemalla     ['LANG:FI']
ihaile-         {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LANG:FI', 'PHI:NUM:_', 'PHI:PER:_', 'SPEC:ADV', '-COMP:FIN', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', 'LF:admire', '!COMP:D', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:D', 'SPEC:TO/inf', 'V', 'ARG', 'PHI:DET:_', 'PF:ihaile-', 'CLASS:TR', '-COMP:P'}
il              {'-SPEC:C', '!PROBE:N', '-SPEC:MA/lla', '-SPEC:INF', 'LF:the', '-SPEC:P', 'PF:il', '-COMP:T/fin', '-COMP:D', 'LANG:IT', 'adjoinable', '-SPEC:Neg/fin', '-SPEC:T/fin', '-COMP:uR', '!COMP:*', '-ARG', '-SPEC:V', 'COMP:N', 'D', '-COMP:P'}
i               {'-SPEC:C', '!PROBE:N', '-SPEC:MA/lla', '-SPEC:INF', 'LF:the', '-SPEC:P', 'PF:il', '-COMP:T/fin', '-COMP:D', 'LANG:IT', 'adjoinable', '-SPEC:Neg/fin', '-SPEC:T/fin', '-COMP:uR', '!COMP:*', '-ARG', '-SPEC:V', 'COMP:N', 'D', '-COMP:P'}
in              {'-SPEC:C', '-COMP:A', '-SPEC:INF', '-COMP:N', '-VAL', '-SPEC:N', 'PHI:GEN:_', '-SPEC:P', '-COMP:T/fin', '-SPEC:ADV', 'PHI:NUM:_', 'LANG:IT', 'adjoinable', '-SPEC:Neg/fin', 'PF:in', '-SPEC:iWH', '-SPEC:FORCE', '-SPEC:T/fin', '-COMP:ADV', '!COMP:*', 'LF:in', '-SPEC:V', '-COMP:uWH', 'COMP:D', '-SPEC:iR', 'ARG', '-COMP:T', '-SPEC:C/fin', '-SPEC:v', 'PHI:PER:_', 'PHI:DET:_', 'P'}
infermieri      {'-COMP:C/fin', '-COMP:A', 'LF:nurses', 'PF:infermieri', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', '-SPEC:ADV', 'LANG:IT', '-SPEC:FORCE', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-SPEC:V', '-COMP:V', '-COMP:v', 'COMP:P', 'COMP:uR', 'SPEC:A', '-COMP:VA/inf', 'COMP:T/prt', '-SPEC:C/fin', '-COMP:WH'}
is              ['LANG:EN']
be-             {'SPEC:D', '-VAL', '-COMP:N', 'SPEC:P', 'COPULA', '-COMP:TO/inf', 'LF:be', 'SPEC:ADV', 'LANG:EN', '-SPEC:T/fin', '-SPEC:FORCE', '!COMP:*', '-ARG', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'V', 'PF:be'}
istuuko         ['LANG:FI']
istuu           ['LANG:FI']
istu-           {'SPEC:D', '-COMP:MA/inf', '-VAL', '-COMP:N', 'SPEC:P', 'PHI:GEN:_', 'LANG:FI', 'PHI:NUM:_', 'SPEC:ADV', '-COMP:D', '-SPEC:T/fin', '-SPEC:FORCE', 'ASP', '-COMP:V', '-COMP:v', 'COMP:P', 'SPEC:TO/inf', 'V', 'CLASS:INTR', 'LF:sit', 'ARG', 'PF:istuu', 'PHI:PER:_', 'PHI:DET:_'}
John            ['LANG:EN']
John-           {'-COMP:C/fin', 'COMP:D/rel', '-SPEC:R', '-SPEC:INF', '-COMP:N', '-COMP:AUX', '-SPEC:uWH', '-SPEC:P', 'COMP:R/D', 'PF:John', '-SPEC:ADV', 'LANG:EN', '-SPEC:FORCE', '-SPEC:V', '-COMP:v', 'LF:John', 'COMP:uR', '-COMP:VA/inf', 'COMP:T/prt', '-COMP:A', '-SPEC:N', 'N', '-adjoinable', '-SPEC:T/fin', 'COMP:C', 'COMP:R', '-COMP:V', 'COMP:P', 'SPEC:A', '-SPEC:C/fin', '-COMP:WH', '-SEM:directional'}
joka            ['LANG:FI']
jota            ['LANG:FI']
